reduktion,g,beladung,entnahme,bilanz,anteil,tmin,drift,spez
0,1.0,1849.0525381861817,3621.231038186181,-1772.1784999999995,195.84251736505055,-55.17688403013935,-16.211972220038064,36.002645168270085
5,0.95,1966.0716312768727,3352.9001312768723,-1386.8284999999996,170.53804540678502,-43.087639362495125,-12.684062038173579,33.8081928405146
10,0.9,2083.0907243675633,3084.569224367563,-1001.4784999999997,148.07656662693142,-30.998394694850933,-9.156151856309123,31.613740512759115
15,0.85,2200.1098174582544,2816.2383174582537,-616.1284999999993,128.00444301056757,-18.909150027206714,-5.628241674444636,29.419288185003637
20,0.8,2317.1289105489454,2547.9074105489453,-230.7784999999999,109.95967461928247,-6.819905359562526,-2.1003314925801817,27.22483585724816
23,0.77,2387.3403664033594,2386.9088664033598,0.43149999999968713,99.98192549306869,0.4336414410239948,0.01641461653851195,25.90816446059487
25,0.75,2434.148003639636,2279.576503639636,154.57150000000001,93.64987257270805,5.2693393080816655,1.4275786892842746,25.03038352949268
30,0.7,2551.167096730327,2011.2455967303267,539.9215000000004,78.83629415368424,17.358583975725885,4.955488871148759,23.96658706439808
40,0.6,2785.2052829117088,1474.5837829117088,1310.6215,52.94345059442619,41.5370733110143,12.011309234877714,24.913393218335724
